Data,Frequency
크래프트저칼로리,1
켈 오곡첵스초코,1
식자재왕치킨까스,1
대림스노우크랩킹버터갈릭,1
수호,1
미닛조이오렌지4,1
쥬,1
CJ 이츠웰양념쌈장,1
미닛조이애플4팩,1
누텔라,1
굿프랜즈고기손만두,1
식자재왕통살등심돈까스,1
퀴진에어크리스피양념감자,1
로토,1
룸,1
테크딥클린엑스퍼트세제일반용,1
파티,1
영,1
푸디스트생중화면,1
리얼더킹랍스터14,1
삼립단호박스쿱샐러드,1
야끼만두,1
시카고피자,1
마이디벨테이터펍스맛냉동감자,1
조지아크래프트저칼로리라떼,1
페루,1
트로피칼스위트콘,1
쁘띠첼파인애플워,1
말차,1
풀 로스팅돈코츠라멘매운,1
풀 블럭돈카츠치즈,1
양념돈까스,1
상품,1
조지아헤이즐넛아메리카노,1
아로마테라피,1
나폴리,1
야무진새콤쌈무,1
리얼더킹크랩스,1
잎새,1
푸디스트생칼국수면,1
다오,1
한식,1
식자재왕청파래생선까스,1
삼립감자마요스쿱샐러드,1
푸디스트맛있는함흥냉면,1
엿기름,1
찰보리,1
삼립에그마요스쿱샐러드,1
맛있는구워먹는치즈바200g,1
굿프랜즈탕수육,1
풀 노엣지스위트포테이토&콘피자,1
대림크리스피멘보샤,1
리엔자윤중건성샴,1
수제통등심돈까스  ,1
삼립발효따베패스츄리,1
복합,1
도라지,1
식자재왕다되는콘앤스위트소시지,1
쁘띠첼망고달달워,1
보리쌀,1
홍초타트체리,1
퀴진더블치즈스틱,1
CJ 이츠웰진한쇠고기다시,1
둥근달,1
열풍,1
리오퐁,1
썬큐베이크드빈스,1
오리온꼬북칩초코츄러스지퍼,1
종가,1
크레잇꼬마돈카츠,1
햇살,1
탐스제로사과키위,1
풀 통등심돈카츠,1
쉬크,1
오양미니돈까스,1
CJ 크레잇육즙팡팡비엔나,1
호랑,1
퀴진크리스피한입,1
풀 로스팅돈코츠라멘,1
곰국,1
스마,1
베이커리,1
뿌리원새콤쌈무,1
